Size,Density,LowerBound,UpperBound,AlgoNaifNaif,AlgoNaif,BranchAndBound
400,50,11,400,9,11,0
30,67,16,25,7,10,16
10,55,6,6,6,5,6
500,49,10,500,7,10,0
300,19,4,82,3,4,0
20,33,6,6,2,4,6
70,29,8,28,4,3,8
40,48,11,26,6,5,11
100,80,35,87,15,22,35
30,21,5,5,2,3,5
20,57,9,9,5,6,9
70,60,16,51,8,10,16
30,48,9,19,5,8,9
400,19,4,400,2,4,0
50,49,12,32,5,7,12
20,39,7,7,6,6,7
400,80,28,400,23,28,0
300,30,5,119,5,5,0
500,80,31,500,23,31,0
500,40,8,500,6,8,0
60,68,19,49,8,11,19
60,29,9,27,4,5,9
30,79,20,28,10,17,20
40,20,6,6,2,3,6
50,69,20,40,9,12,20
30,41,9,9,4,4,9
10,24,4,4,2,2,4
70,20,7,21,3,3,7
10,76,9,9,8,8,9
50,30,8,22,3,6,8
100,60,19,70,8,13,19
100,19,7,32,3,3,7
300,70,14,233,13,14,0
50,79,25,45,12,17,25
10,46,5,5,4,3,5
200,39,10,97,6,6,10
10,20,3,3,2,2,3
20,47,8,8,4,5,8
300,79,24,257,22,24,0
100,40,11,49,5,6,11
500,30,6,500,4,6,0
500,19,4,500,3,4,0
40,80,24,36,13,18,24
20,70,13,17,8,9,13
60,39,11,31,4,7,11
20,17,4,4,2,2,4
40,70,18,33,9,12,18
200,49,12,112,7,8,12
60,19,6,14,2,4,6
30,28,7,7,4,4,7
10,39,5,5,3,3,5
10,71,8,8,6,7,8
200,60,15,141,12,14,15
300,40,8,152,7,8,0
300,50,9,175,9,8,0
50,41,9,26,4,5,9
100,49,13,63,5,10,13
300,60,10,204,10,10,0
100,70,24,81,11,17,24
30,57,13,21,6,7,13
40,57,13,29,4,7,13
200,70,21,156,15,16,21
70,69,23,57,10,13,23
400,59,13,400,11,13,0
200,29,8,74,4,5,8
400,70,18,400,14,18,0
70,80,33,64,15,24,33
200,20,7,54,3,3,7
40,39,9,20,4,5,9
60,79,28,53,17,18,28
100,31,9,39,5,4,9
40,30,7,14,3,5,7
200,79,28,171,22,24,28
500,70,22,500,17,22,0
70,49,14,42,5,8,14
60,60,17,45,7,10,17
400,30,6,400,4,6,0
50,19,6,8,2,3,6
70,39,11,38,4,7,11
50,59,15,35,10,9,15
60,50,13,39,5,7,13
20,81,17,20,12,15,17
500,60,11,500,9,11,0
400,39,7,400,6,7,0
